product_id,product_name,category,subcategory,origin,list_price,base_unit_cost,launch_date,active_flag
1,Cortado (Small),Brewed Beverage,Hot,NA,7.75,1.98,2022-01-01,1
2,Cold Brew (Large),Brewed Beverage,Cold,NA,4.25,0.86,2024-09-01,1
3,Cafe Latte (Large),Brewed Beverage,Hot,NA,6.5,2.18,2022-01-01,0
4,Macchiato (Small),Brewed Beverage,Hot,NA,3.25,0.98,2022-06-01,1
5,Americano (Regular),Brewed Beverage,Hot,NA,3.75,0.95,2022-01-01,1
6,Chai Latte (Regular),Brewed Beverage,Hot,NA,3.75,1.38,2022-01-01,1
7,Espresso (Large),Brewed Beverage,Hot,NA,6.5,1.73,2024-01-01,1
8,Flat White (Regular),Brewed Beverage,Hot,NA,5.75,1.69,2022-01-01,1
9,Pour Over (Small),Brewed Beverage,Hot,NA,5.0,1.33,2022-06-01,1
10,Cappuccino (Regular),Brewed Beverage,Hot,NA,4.5,1.16,2022-01-01,0
11,Affogato (Small),Brewed Beverage,Hot,NA,5.75,1.83,2022-01-01,1
12,Flat White (Large),Brewed Beverage,Hot,NA,5.75,2.08,2022-01-01,1
13,Pour Over (Regular),Brewed Beverage,Hot,NA,2.75,1.01,2024-09-01,1
14,Mocha (Regular),Brewed Beverage,Hot,NA,6.75,1.55,2024-09-01,0
15,Cafe Latte (Regular),Brewed Beverage,Hot,NA,5.25,1.34,2022-01-01,1
16,Americano (Regular),Brewed Beverage,Hot,NA,5.25,1.39,2022-01-01,1
17,Hot Chocolate (Small),Brewed Beverage,Hot,NA,5.5,1.74,2022-06-01,1
18,Flat White (Small),Brewed Beverage,Hot,NA,7.0,1.89,2022-01-01,1
19,Iced Latte (Small),Brewed Beverage,Cold,NA,5.75,2.19,2023-01-01,1
20,Pour Over (Large),Brewed Beverage,Hot,NA,4.25,1.12,2022-01-01,1
21,Macchiato (Large),Brewed Beverage,Hot,NA,6.75,7.54,2022-01-01,0
22,Pour Over (Large),Brewed Beverage,Hot,NA,4.0,1.35,2022-01-01,0
23,Americano (Regular),Brewed Beverage,Hot,NA,4.75,1.56,2022-06-01,1
24,Cold Brew (Large),Brewed Beverage,Cold,NA,4.5,1.01,2022-01-01,1
25,Pour Over (Small),Brewed Beverage,Hot,NA,5.5,1.55,2023-07-01,1
26,Hot Chocolate (Large),Brewed Beverage,Hot,NA,3.5,1.08,2022-01-01,1
27,Flat White (Regular),Brewed Beverage,Hot,NA,8.0,2.16,2022-01-01,1
28,Double Espresso (Large),Brewed Beverage,Hot,NA,7.5,2.15,2022-01-01,1
29,Americano (Regular),Brewed Beverage,Hot,NA,4.5,1.2,2022-01-01,1
30,Cortado (Regular),Brewed Beverage,Hot,NA,4.75,1.21,2022-01-01,1
31,Macchiato (Large),Brewed Beverage,Hot,NA,4.25,1.5,2022-01-01,1
32,Hot Chocolate (Small),Brewed Beverage,Hot,NA,3.5,0.62,2022-01-01,1
33,Hot Tea (Small),Brewed Beverage,Hot,NA,3.75,0.72,2023-01-01,1
34,Affogato (Large),Brewed Beverage,Hot,NA,3.75,1.25,2022-01-01,1
35,Hot Chocolate (Large),Brewed Beverage,Hot,NA,7.75,2.17,2022-01-01,1
36,Mocha (Small),Brewed Beverage,Hot,NA,2.75,0.54,2022-01-01,1
37,Flat White (Small),Brewed Beverage,Hot,NA,6.25,2.52,2024-09-01,0
38,Flat White (Regular),Brewed Beverage,Hot,NA,6.5,2.3,2022-01-01,1
39,Mocha (Small),Brewed Beverage,Hot,NA,7.0,1.58,2024-01-01,0
40,Double Espresso (Large),Brewed Beverage,Hot,NA,3.5,1.08,2022-01-01,1
41,Hot Chocolate (Small),Brewed Beverage,Hot,NA,5.25,1.3,2022-01-01,1
42,Flat White (Large),Brewed Beverage,Hot,NA,4.25,1.37,2022-01-01,1
43,Avocado Toast,Food,Bakery,NA,5.25,2.31,2022-01-01,1
44,Butter Croissant,Food,Bakery,NA,2.75,1.22,2022-01-01,1
45,Brownie,Food,Bakery,NA,7.75,2.61,2022-06-01,1
46,Bagel & Cream Cheese,Food,Bakery,NA,7.5,3.5,2022-01-01,0
47,Bagel & Cream Cheese,Food,Bakery,NA,6.75,2.91,2023-01-01,1
48,Avocado Toast,Food,Bakery,NA,2.75,1.36,2022-01-01,1
49,Banana Bread,Food,Bakery,NA,3.5,1.61,2022-01-01,0
50,Cheesecake Slice,Food,Bakery,NA,5.75,2.77,2022-01-01,1
51,Almond Croissant,Food,Bakery,NA,4.5,2.05,2022-01-01,1
52,Chocolate Chip Cookie,Food,Bakery,NA,7.25,3.9,2023-01-01,0
53,Avocado Toast,Food,Bakery,NA,3.5,1.81,2022-01-01,0
54,Banana Bread,Food,Bakery,NA,7.0,1.93,2023-01-01,1
55,Quiche,Food,Bakery,NA,5.5,2.36,2024-09-01,1
56,Butter Croissant,Food,Bakery,NA,7.0,3.56,2023-07-01,1
57,Granola Bowl,Food,Bakery,NA,7.5,3.18,2022-01-01,1
58,Almond Croissant,Food,Bakery,NA,3.75,1.72,2022-01-01,0
59,Bagel & Cream Cheese,Food,Bakery,NA,2.25,1.05,2024-01-01,1
60,Almond Croissant,Food,Bakery,NA,3.0,1.45,2022-01-01,1
61,Bagel & Cream Cheese,Food,Bakery,NA,6.0,2.64,2022-01-01,1
62,Turkey Panini,Food,Bakery,NA,4.0,1.79,2023-07-01,1
63,Brownie,Food,Bakery,NA,7.0,3.02,2024-09-01,1
64,Quiche,Food,Bakery,NA,3.0,0.84,2024-09-01,0
65,Blueberry Muffin,Food,Bakery,NA,5.5,2.35,2022-01-01,1
66,Banana Bread,Food,Bakery,NA,2.25,1.16,2024-01-01,1
67,Almond Croissant,Food,Bakery,NA,2.25,0.95,2022-01-01,1
68,Cheesecake Slice,Food,Bakery,NA,2.5,0.99,2022-06-01,0
69,Cheesecake Slice,Food,Bakery,NA,8.0,3.83,2024-09-01,0
70,Quiche,Food,Bakery,NA,6.75,3.02,2023-01-01,1
71,Ham & Cheese Croissant,Food,Bakery,NA,2.75,1.28,2024-09-01,1
72,Cheesecake Slice,Food,Bakery,NA,5.0,1.81,2022-01-01,1
73,Cheesecake Slice,Food,Bakery,NA,4.25,1.87,2022-01-01,1
74,Avocado Toast,Food,Bakery,NA,3.5,1.65,2022-01-01,1
75,Bagel & Cream Cheese,Food,Bakery,NA,4.5,1.56,2022-01-01,1
76,Avocado Toast,Food,Bakery,NA,4.25,1.69,2023-01-01,0
77,Willamette Dark Medium 12oz,Retail Beans,Blend,Willamette Dark,13.5,5.08,2022-01-01,1
78,Rwanda Nyungwe Light 5lb,Retail Beans,Single Origin,Rwanda Nyungwe,24.0,11.95,2023-07-01,1
