expense_id,month,expense_category,amount
1,2022-01,Rent,12117.26
2,2022-01,Salaries & Labor,32872.5
3,2022-01,Packaging,10708.76
4,2022-01,Freight & Delivery,12810.71
5,2022-01,Marketing,17332.09
6,2022-01,Card Processing Fees,9034.9
7,2022-01,Utilities,1383.11
8,2022-01,Spoilage & Waste,5992.32
9,2022-01,Equipment Maintenance,466.28
10,2022-01,Software & SaaS,490.41
11,2022-01,Insurance,781.82
12,2022-01,Professional Fees,1077.85
13,2022-01,Cleaning & Supplies,271.65
14,2022-01,Misc,704.34
15,2022-02,Rent,17264.43
16,2022-02,Salaries & Labor,46858.0
17,2022-02,Packaging,8977.2
18,2022-02,Freight & Delivery,12105.85
19,2022-02,Marketing,18157.45
20,2022-02,Card Processing Fees,8363.12
21,2022-02,Utilities,2728.78
22,2022-02,Spoilage & Waste,5016.13
23,2022-02,Equipment Maintenance,597.35
24,2022-02,Software & SaaS,517.48
25,2022-02,Insurance,777.96
26,2022-02,Professional Fees,486.99
27,2022-02,Cleaning & Supplies,573.36
28,2022-02,Misc,640.28
29,2022-03,Rent,17210.95
30,2022-03,Salaries & Labor,48772.94
31,2022-03,Packaging,10058.74
32,2022-03,Freight & Delivery,14772.36
33,2022-03,Marketing,19553.55
34,2022-03,Card Processing Fees,8789.0
35,2022-03,Utilities,2631.12
36,2022-03,Spoilage & Waste,6881.3
37,2022-03,Equipment Maintenance,904.17
38,2022-03,Software & SaaS,553.36
39,2022-03,Insurance,765.7
40,2022-03,Professional Fees,422.39
41,2022-03,Cleaning & Supplies,591.82
42,2022-03,Misc,515.38
43,2022-04,Rent,22503.61
44,2022-04,Salaries & Labor,62012.86
45,2022-04,Packaging,9482.43
46,2022-04,Freight & Delivery,13604.82
47,2022-04,Marketing,17983.35
48,2022-04,Card Processing Fees,8088.32
49,2022-04,Utilities,3864.44
50,2022-04,Spoilage & Waste,4123.64
51,2022-04,Equipment Maintenance,1278.14
52,2022-04,Software & SaaS,603.95
53,2022-04,Insurance,773.3
54,2022-04,Professional Fees,1201.16
55,2022-04,Cleaning & Supplies,815.3
56,2022-04,Misc,368.11
57,2022-05,Rent,22465.19
58,2022-05,Salaries & Labor,62761.6
59,2022-05,Packaging,8479.96
60,2022-05,Freight & Delivery,11766.26
61,2022-05,Marketing,17637.02
62,2022-05,Card Processing Fees,7544.97
63,2022-05,Utilities,4152.24
64,2022-05,Spoilage & Waste,5616.35
65,2022-05,Equipment Maintenance,1385.82
66,2022-05,Software & SaaS,650.28
67,2022-05,Insurance,780.81
68,2022-05,Professional Fees,777.69
69,2022-05,Cleaning & Supplies,834.98
70,2022-05,Misc,534.41
71,2022-06,Rent,22430.22
72,2022-06,Salaries & Labor,62439.1
73,2022-06,Packaging,9272.0
74,2022-06,Freight & Delivery,13161.01
75,2022-06,Marketing,21821.33
76,2022-06,Card Processing Fees,7173.55
77,2022-06,Utilities,4155.71
78,2022-06,Spoilage & Waste,4311.55
79,2022-06,Equipment Maintenance,1118.47
80,2022-06,Software & SaaS,650.93
81,2022-06,Insurance,792.19
82,2022-06,Professional Fees,555.83
83,2022-06,Cleaning & Supplies,903.78
84,2022-06,Misc,462.92
85,2022-07,Rent,22434.39
86,2022-07,Salaries & Labor,63974.58
87,2022-07,Packaging,9916.91
88,2022-07,Freight & Delivery,13765.66
89,2022-07,Marketing,16549.07
90,2022-07,Card Processing Fees,7812.02
91,2022-07,Utilities,4095.99
92,2022-07,Spoilage & Waste,5792.98
93,2022-07,Equipment Maintenance,564.04
94,2022-07,Software & SaaS,695.7
95,2022-07,Insurance,783.26
96,2022-07,Professional Fees,884.05
97,2022-07,Cleaning & Supplies,840.07
98,2022-07,Misc,829.73
99,2022-08,Rent,22541.42
100,2022-08,Salaries & Labor,65847.28
101,2022-08,Packaging,9565.43
102,2022-08,Freight & Delivery,13655.6
103,2022-08,Marketing,18217.33
104,2022-08,Card Processing Fees,7414.12
105,2022-08,Utilities,4155.32
106,2022-08,Spoilage & Waste,5122.55
107,2022-08,Equipment Maintenance,949.9
108,2022-08,Software & SaaS,739.48
109,2022-08,Insurance,811.04
110,2022-08,Professional Fees,1281.32
111,2022-08,Cleaning & Supplies,730.74
112,2022-08,Misc,632.46
113,2022-09,Rent,27601.58
114,2022-09,Salaries & Labor,78958.22
115,2022-09,Packaging,10987.08
116,2022-09,Freight & Delivery,15434.87
117,2022-09,Marketing,21136.2
118,2022-09,Card Processing Fees,8427.16
119,2022-09,Utilities,5853.86
120,2022-09,Spoilage & Waste,5894.29
121,2022-09,Equipment Maintenance,1510.94
122,2022-09,Software & SaaS,776.47
123,2022-09,Insurance,796.89
124,2022-09,Professional Fees,707.69
125,2022-09,Cleaning & Supplies,1076.57
126,2022-09,Misc,567.92
127,2022-10,Rent,27680.38
128,2022-10,Salaries & Labor,78673.12
129,2022-10,Packaging,11295.97
130,2022-10,Freight & Delivery,18267.21
131,2022-10,Marketing,21982.1
132,2022-10,Card Processing Fees,9914.21
133,2022-10,Utilities,5766.37
134,2022-10,Spoilage & Waste,7435.46
135,2022-10,Equipment Maintenance,648.87
136,2022-10,Software & SaaS,829.25
137,2022-10,Insurance,773.02
138,2022-10,Professional Fees,374.62
139,2022-10,Cleaning & Supplies,1104.61
140,2022-10,Misc,554.63
141,2022-11,Rent,27367.07
142,2022-11,Salaries & Labor,78056.83
143,2022-11,Packaging,13085.62
144,2022-11,Freight & Delivery,17778.59
145,2022-11,Marketing,26872.4
146,2022-11,Card Processing Fees,10185.04
147,2022-11,Utilities,5019.99
148,2022-11,Spoilage & Waste,6024.08
149,2022-11,Equipment Maintenance,1482.15
150,2022-11,Software & SaaS,832.36
